date,label,confidence,evidence_type,first_qualifying_time_et,side,hedge_only,excerpt,journal_ref,reviewer,notes,proposed_reasoning
2024-03-24,0,High,,,,False,"5115 - 5320 is SPX WEEKLY RANGE based on pre-weekend data CFDs are slightly lower, implying 5105 - 5310 Will have exact numbers when running the model later tonight",2024-03-24.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-03-25,0,High,,,,False,"Today looks like a RANGE day, where selling premium is the way to go Will look at CCS near FRI HOD and wait a bit befire deciding on a PCS 2",2024-03-25.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-03-26,0,High,,,,False,Today looks likes another RANGE DAY. PCS at MON LOD & CCS at FRI HOD 40 - 60% TP unless RTH PA turns out to be a slow melt up day 2,2024-03-26.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-03-27,0,High,,,,False,"pop quiz time does ES: A) blast through the SUPPLY ZONE and make a NATH to wrap up EoM & 1Q 2024 B ) REJECT the SUPPLY ZONE and drop back down Does it happen OVN? RTH? If REJECTION, where is the SUPPORT? 5298? 5285? 5...",2024-03-27.txt:6-19,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-03-28,1,Medium,explicitly_claimed,15:13,,False,"sold those SPX CALLS at 14.50 and scaled down to 12.20, AVG fill at 13.96 2",2024-03-28.txt:40-46,model-draft,Side ambiguous from keywords; requires human review.,first_positive=explicitly_claimed side=none -> label=1 Medium
2024-03-31,0,High,,,,False,"SUN, 31 MAR 2024",2024-03-31.txt:12-16,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-04-01,0,High,,,,False,"CL being a troll, 1 penny from TP 3",2024-04-01.txt:6-10,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-04-03,0,High,,,,False,TP #4 hit for CL position 1,2024-04-03.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-04-04,0,High,,,,False,Weekly low range is breached,2024-04-04.txt:6-8,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-04-05,0,High,,,,False,"GG, that was a clenchy one to wrap the week up. was going to deploy an active defense should FRI continued THUR down-trend, but the OVN INVENTORY was net LONG along with seeing yesterday as an over-extended sell-off f...",2024-04-05.txt:6-14,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-04-06,0,High,,,,False,Holy shit. Knowledge bomb Pickles,2024-04-06.txt:6-10,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-04-07,0,High,,,,False,Will scale into 5250 SPX 12 APR LONG CALLS tonight / tomorrow Thesis is first half of this week will follow FRI recovery for ES to re-test as far as 5300 ( ~5250 on SPX ) 2 1 1 1,2024-04-07.txt:27-39,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-04-08,0,High,,,,False,1 Pickles Click to see attachment 🖼️ Pickles,2024-04-08.txt:6-19,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-04-09,0,High,,,,False,trailing stop got triggered early this morning looking at re-entering some time today average price was $15.73 Pickles,2024-04-09.txt:6-16,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-04-10,0,High,,,,False,ES chart for OVN note not one tick above the GLOBEX OPEN ( NQ as well ),2024-04-10.txt:18-24,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-04-11,0,High,,,,False,"review of crayons from last night, turned the blue line into grey to not get confused with the EURO SESSION ( which i use blue for ) we see 5209.50 was our OVN H and EURO turned it into a sell-off until PPI came out t...",2024-04-11.txt:6-14,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-04-12,0,High,,,,False,"Good job weekly rangers, cya on SUN Pickles",2024-04-12.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-04-14,0,High,,,,False,"===================================================================== ===================================================================== SUN, 14 APR 2024 Widest WEEKLY RANGE for the year to date FAQ --> https://dis...",2024-04-14.txt:6-26,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-04-15,0,High,,,,False,"MON, 15 APR 2024 OVN INVENTORY was LONG, with only the opening candle wicking below the GLOBEX OPEN, & EURO AM SESSION entirely above ASIA AM SESSION but coupled with a struggled to find a print into the 5200's on ES....",2024-04-15.txt:14-32,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-04-16,0,High,,,,False,what is going on here,2024-04-16.txt:47-47,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-04-19,0,High,,,,False,"I apologize for not keeping the channel updated with this trade, I was pre-occupied in another server, so I will copy over screenshots that showed my method of thinking / trading during FRI GLOBEX",2024-04-19.txt:24-26,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-04-21,0,High,,,,False,"===================================================================== ===================================================================== SUN, 21 APR 2024 WEEKLY RANGE is posted 2nd widest WEEKLY RANGE for the year ...",2024-04-21.txt:6-60,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-04-22,0,High,,,,False,"capital deployed = MAX LOSS to determine POSITION SIZE for example last week it was MAX LOSS $8,000 per IC. I run a static $100k port so it's as close to $100k deployed without going over, so $8,000 x 12 ICs = $96,000...",2024-04-22.txt:14-22,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-04-25,0,High,,,,False,"THURS, 25 APR 2024 OVN INVENTORY was LONG, however two notes: 1) All of GLOBEX is underneath WEDS RTH CLOSE & 2) ASIA printed both OVN H & OVN L ( EURO had a quick LOOK & FAIL top wick ) with EURO SESSION being muted ...",2024-04-25.txt:14-33,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-04-26,0,High,,,,False,"WEEKLY IC UPDATE exited SHORT CALLS at BREAK-EVEN, so profit this week will entirely be from the now deep in the zero-BID realm of the SHORT PUTS at 4765 1",2024-04-26.txt:49-55,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-04-29,0,High,,,,False,I will have the official WEEKLY RANGE CHART up later tonight. I need another nap 1,2024-04-29.txt:28-32,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-04-30,1,Medium,executed,17:46,,False,"I am TOTALLY in favor of HEDGING a SHORT SPX POSITION by going LONG FUTURES it's much, much better than the reverse ( LONG SPX & HEDGE with SHORT FUTURES )",2024-04-30.txt:164-166,model-draft,Side ambiguous from keywords; requires human review.,first_positive=executed_long_directional side=none -> label=1 Medium
2024-05-01,0,High,,,,False,,2024-05-01.txt:0,model-draft,No Pickles-authored content in file.,no_pickles_messages -> label=0 High
2024-05-02,0,High,,,,False,"when i first started? it was FOREX, JPY / EUR / GBP with USD pairs then i discovered index options & index futures, now it's a blend of that as 90% of my day-trades and i can't remember the last time i traded FOREX 1",2024-05-02.txt:22-28,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-05-03,0,High,,,,False,"Calling it a day for an early weekend posting the WEEKLY CHART a bit early, SPX would need a ~3 SIGMA move in 4 hours to break the SHORT CALLS at 5265 - a 0.28% probability ( not even going to try calculating the SHOR...",2024-05-03.txt:16-28,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-05-04,0,High,,,,False,"fees & slippage: FEES if this was one CCS, fees are going to be around ~$3.3( let's say $1.65 per contract = 1.65 x 2 = $3.3 ) fees for 1 ES going to be ~$2.25 one-way and $4.50 round-trip total fees somewhere in the ...",2024-05-04.txt:119-147,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-05-05,0,High,,,,False,added another MACRO LEVEL to the list --> 5308.50 ES full list --> https://discord.com/channels/1026265666552090676/1163592216523055164/1165839923497148467 1 1,2024-05-05.txt:36-47,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-05-06,0,High,,,,False,"TP 2 at 18200 NQ was there for less than one, 1m candle, only managed to sell 4 contracts before price dipped back below 200 Pickles",2024-05-06.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-05-07,0,High,,,,False,NQ being a bigger tease than that girl i had a crush on in high school who was just using me to help her with her chemistry homework 3 1,2024-05-07.txt:6-12,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-05-08,0,High,,,,False,"Should the data releases result in a lift in the markets, I'll be watching NQ to tap / get close to 400 to hit TP 3, and look for the final exit on my NQ LONG position, to start building into another multi-week CL LON...",2024-05-08.txt:42-48,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-05-09,1,High,executed,10:21,call,False,this ZONE tops out at 5222 ES 5223 - 5225 and pickles is going into SPX LONG CALLS and TP on approach to entering 5240s on ES,2024-05-09.txt:144-148,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2024-05-10,0,High,,,,False,,2024-05-10.txt:0,model-draft,No Pickles-authored content in file.,no_pickles_messages -> label=0 High
2024-05-12,0,High,,,,False,"===================================================================== ===================================================================== SUN, 12 MAY 2024 WEEKLY RANGE is posted FAQ --> https://discord.com/channels/...",2024-05-12.txt:6-39,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-05-14,1,High,executed,09:13,call,False,"snuck in a few SPX LONG 0DTE CALLS before the 15 minute cool-down window, will TP likely within OPENING DRIVE 2",2024-05-14.txt:46-54,model-draft,,first_positive=executed_long_directional side=call -> label=1 High
2024-05-15,0,High,,,,False,LONG NQ at 520 & 530,2024-05-15.txt:35-35,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-05-16,0,High,,,,False,0DTE SPX PCS,2024-05-16.txt:184-188,model-draft,SPX 0DTE activity is spread-only (credit/debit spreads). No directional long (N4).,first_qualifying=spread_only -> label=0 High
2024-05-17,0,High,,,,False,"FRI, 17 MAY 2024 OVN INVENTORY was net LONG, with only a brief dip below GLOBEX OPEN, ASIA AM SESSION being the HVN consolidation area for OVN & ASIA printing the OVNH with EURO printing OVNL A couple FED speakers tod...",2024-05-17.txt:14-44,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-05-19,0,High,,,,False,"===================================================================== ===================================================================== SUN, 19 MAY 2024 WEEKLY RANGE is posted This week one of the smallest range o...",2024-05-19.txt:6-37,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-05-20,0,High,,,,False,"MON, 20 MAY 2024 OVN INVENTORY was LONG, weekend GAP UP and not yet a RE-AUCTION to fill it ( likely filled during today's RTH or at the latest TUES, if not by then, not at all ). EURO AM SPLIT DOWN from ASIA AM, The ...",2024-05-20.txt:14-46,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-05-21,0,High,,,,False,OVN INVENTORY was LONG with majority of PA occurring above GLOBEX OPEN. EURO printed both the OVNH & OVNL with price hanging around WEEKLY POC & under WVWAP. CL is down -2% while EQUITIES / XLE haven't re-acted. There...,2024-05-21.txt:14-38,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-05-22,0,High,,,,False,"WEDS, 22 MAY 2024 OVN INVENTORY was SHORT, with ASIA printing OVNH, EURO SESSION being completely beneath ASIA & also printing the OVNL, with price hovering above the WEEKLY POC to use as a support 'shelf'. CL is down...",2024-05-22.txt:14-42,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-05-24,0,High,,,,False,"posting this a bit early, but i'm very confident SPX is not doing a 100 point move in the next hour GG weekly rangers, cya next week! 1",2024-05-24.txt:6-13,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-05-27,0,High,,,,False,"===================================================================== ===================================================================== SUN, 27 MAY 2024 WEEKLY RANGE is posted This week is two points from tieing t...",2024-05-27.txt:6-39,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-05-31,0,High,,,,False,"What a wild way EoM flow & JPM ROLL to wrap up the week, a 50 point rip in the last 20 minutes GG weekly rangers, cya next week! 1 1 1",2024-05-31.txt:26-38,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-06-02,0,High,,,,False,https://discord.com/channels/1026265666552090676/1053865549811171458/1246222586384224340,2024-06-02.txt:14-16,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-06-03,0,High,,,,False,"goddamn you are banging in so much money with this bull market Pickles ===================================================================== ===================================================================== SUN, 2...",2024-06-03.txt:6-34,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-06-04,0,High,,,,False,"In the Capital column, is that amount always in this trading account of yours / is your BP always going to revolve around the Capital $$ amount?",2024-06-04.txt:6-6,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-06-05,0,High,,,,False,amazing what a a few percentage points per week can do for a port over time 1,2024-06-05.txt:22-26,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-06-06,0,High,,,,False,"added more to SHORT NQ, new AVG / BREAK EVEN --> 047 1 1 1 1",2024-06-06.txt:6-16,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-06-07,0,High,,,,False,"I did something a little different this week: PREMIUM loaded into the CALL-SIDE WEDS and instead of fully scaling into position by TUES AM SESSION and experiencing drawdown during middle of week, I held back the last ...",2024-06-07.txt:6-22,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-06-09,0,High,,,,False,"===================================================================== ===================================================================== SUN, 9 JUN 2024 WEEKLY RANGE is posted RANGE has expanded VOLATILITY more to ...",2024-06-09.txt:6-32,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-06-10,0,High,,,,False,0DTE SPX CCS,2024-06-10.txt:57-59,model-draft,SPX 0DTE activity is spread-only (credit/debit spreads). No directional long (N4).,first_qualifying=spread_only -> label=0 High
2024-06-12,0,High,,,,False,"WEDS, 12 JUN 2024 OVN INVENTORY was LONG, HH & HL printed in both ASIA & EURO SESSIONS, with only brief dips below VWAP otherwise spending most of GLOBEX trending on +1 VWAP. CL up over 1% & 10YR being lethargic befor...",2024-06-12.txt:14-35,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-06-13,1,High,executed,10:44,put,False,SPX LONG PUTS 1,2024-06-13.txt:126-130,model-draft,,first_positive=executed_long_directional side=put -> label=1 High
2024-06-14,0,High,,,,False,"GG weekly rangers, see you next week! 2 Pickles",2024-06-14.txt:6-14,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-06-16,0,High,,,,False,"SPX MODEL is giving 12 total contracts, I will enter 8 on MON - TUES, then hold off until THURS GLOBEX to enter the final 4 1",2024-06-16.txt:30-34,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-06-17,0,High,,,,False,"MON, 17 JUN 2024 OVN INVENTORY was SHORT, with EURO SESSION printing an EXPANDED RANGE on both sides of the ASIA SESSION and both OVNH & OVNL. This is a prime set up to trade the break out from this RANGE, or quick sc...",2024-06-17.txt:14-45,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-06-18,0,High,,,,False,"TUES, 18 JUN 2024 OVN INVENTORY was SHORT, with one brief stay above GLOBEX during ELECTRONICS SESSION to spend the rest of OVN testing GLOBEX from below. CL flat, with DXY & 10-YR been grinding higher since GLOBEX OP...",2024-06-18.txt:14-37,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> label=0 High"
2024-06-20,1,High,executed,09:40,put,False,0DTE SPX LONG PUTS 2,2024-06-20.txt:106-110,model-draft,,first_positive=executed_long_directional side=put -> label=1 High
2024-06-21,0,Low,,,,False,LONG 0DTE SPX PUTS,2024-06-21.txt:53-55,model-draft,"AMBIGUOUS: keyword hit but the decision tree could not cleanly resolve the category (saw: ['irrelevant', 'irrelevant', 'ambiguous', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant']). Human review required; shadow file.","categories=['irrelevant', 'irrelevant', 'ambiguous', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant', 'irrelevant'] -> AMBIGUOUS Low"
2024-06-23,0,High,,,,False,"MODEL is calling for 11 CONTRACTS, 9 will be entered MON - TUES AM, the last 3 will be scaled in later to ( hopefully ) capture more PREMIUM",2024-06-23.txt:32-34,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-06-24,0,High,,,,False,"MON, 24 JUN 2024 OVN INVENTORY was SHORT, with ASIA printing the OVNL & EURO the OVNH recovery, with PRICE staying underneath GLOBEX OPEN majority of OVN. CL & 10-YR TREND UP since ASIA SESSION, and DXY TREND DOWN sin...",2024-06-24.txt:18-39,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-06-25,0,High,,,,False,===================================================================== =====================================================================,2024-06-25.txt:6-8,model-draft,No SPX 0DTE long mention in any Pickles message.,"categories=['irrelevant', 'irrelevant'] -> label=0 High"
2024-06-28,0,High,,,,False,JPM COLLAR ROLL notes (fund 1 June 2024 to September 2024): roll happened at 1410 EST size 39.6k vs 5483.56 spot Size increased from 37.5k used 14.7k 5330c 0DTE as COUNTER DELTA -5770c $34.42 --> 31.22 +5185p $42.08 -...,2024-06-28.txt:70-87,model-draft,Keyword hits only reference third-party trades (e.g. JPM roll commentary). Not Pickles' own execution.,"categories=['irrelevant', 'irrelevant', 'irrelevant', 'third_party'] -> label=0 High"
2024-06-30,0,High,,,,False,"===================================================================== ===================================================================== SUN, 30 JUN 2024 RANGE is very close to PREVIOUS WEEK, with the numbers comin...",2024-06-30.txt:6-31,model-draft,No SPX 0DTE long mention in any Pickles message.,categories=['irrelevant'] -> label=0 High
2024-07-01,0,High,,,,False,,2024-07-01.txt:0,model-draft,No Pickles-authored content in file.,no_pickles_messages -> label=0 High
2024-07-03,0,High,,,,False,,2024-07-03.txt:0,model-draft,No Pickles-authored content in file.,no_pickles_messages -> label=0 High
